=== PLAYER OVERVIEW ===
IGN,Main_Role,Current_Rank,Season_Peak_Rank,Overall_KDA,Overall_WinRate%,Total_Matches,Status
Meowpow2745,Strategist,Diamond I,Diamond I,4.56,48.6%,146,Success
I MUFFIN I,Vanguard,Diamond I,Grandmaster I,3.30,44.7%,47,Success
AnimeNerd3323,Strategist,Platinum II,Platinum II,6.15,50.5%,109,Success
Rheca,Duelist,Bronze I,N/A,3.81,57.1%,7,Success
jessamxd,Strategist,Gold III,N/A,6.90,60.0%,5,Success
Hakku,Duelist,Platinum II,Diamond II,4.43,53.9%,167,Success
ＰＥＲＫ,Strategist,Grandmaster II,Grandmaster II,6.53,54.8%,62,Success
Duckbadger,Vanguard,Diamond II,Diamond II,4.11,58.1%,31,Success
Nute,Unknown,Unranked,N/A,0.00,0.0%,0,Success
Yammmmm,Vanguard,Grandmaster I,Grandmaster I,4.17,58.8%,80,Success
Hansollohub,Strategist,Platinum II,Platinum II,7.39,53.8%,26,Success
5728,Unknown,Unranked,N/A,0.00,0.0%,0,Success
SkyGuardian111,Vanguard,Gold III,N/A,3.81,50.0%,10,Success
Geeko,Duelist,Silver II,Silver II,3.47,57.4%,61,Success
tr8n,Duelist,Platinum III,Platinum I,2.59,44.0%,75,Success
FatherQuinnel,Unknown,Unranked,N/A,0.00,0.0%,0,Success
Hoshi_Blade,Duelist,Platinum II,Platinum I,3.84,51.5%,130,Success
ItAnAvocados,N/A,N/A,N/A,N/A,N/A,0,Private/Not Found
Triiix10,Strategist,Platinum II,Platinum I,4.44,47.7%,88,Success
PupusaEater26,Duelist,Platinum II,Platinum II,4.19,53.6%,28,Success

=== HERO BREAKDOWN ===
IGN,Hero_Rank,Hero,Role,KDA,WinRate%,Matches,Status
Meowpow2745,1,Jeff The Land Shark,Strategist,6.65,55.8%,51,Success
Meowpow2745,2,Doctor Strange,Vanguard,2.46,42.1%,21,Success
Meowpow2745,3,Invisible Woman,Strategist,4.57,23.0%,12,Success
Meowpow2745,4,Loki,Strategist,4.51,30.7%,11,Success
Meowpow2745,5,Cloak & Dagger,Strategist,9.02,64.8%,10,Success
I MUFFIN I,1,Magneto,Vanguard,3.08,43.3%,10,Success
I MUFFIN I,2,Groot,Vanguard,3.54,60.6%,9,Success
I MUFFIN I,3,Venom,Vanguard,5.21,56.2%,8,Success
I MUFFIN I,4,Captain America,Vanguard,2.61,12.0%,8,Success
I MUFFIN I,5,Deadpool (Vanguard),Unknown,1.05,0.0%,2,Success
AnimeNerd3323,1,White Fox,Strategist,7.11,55.2%,33,Success
AnimeNerd3323,2,Invisible Woman,Strategist,7.28,46.6%,19,Success
AnimeNerd3323,3,Mantis,Strategist,9.98,55.7%,19,Success
AnimeNerd3323,4,Doctor Strange,Vanguard,2.26,56.2%,6,Success
AnimeNerd3323,5,Moon Knight,Duelist,2.45,35.1%,5,Success
Rheca,1,Psylocke,Duelist,5.22,74.1%,5,Success
Rheca,2,White Fox,Strategist,5.50,0.0%,0,Success
Rheca,3,Ultron,Strategist,0.33,0.0%,0,Success
Rheca,4,Mantis,Strategist,1.25,0.0%,0,Success
Rheca,5,Adam Warlock,Strategist,0.00,0.0%,0,Success
jessamxd,1,Cloak & Dagger,Strategist,6.90,60.0%,5,Success
Hakku,1,Deadpool (Vanguard),Unknown,5.29,56.5%,49,Success
Hakku,2,Phoenix,Duelist,4.18,72.5%,14,Success
Hakku,3,Ultron,Strategist,11.12,52.6%,11,Success
Hakku,4,Blade,Duelist,4.22,68.2%,10,Success
Hakku,5,Bruce Banner,Unknown,2.82,47.6%,10,Success
ＰＥＲＫ,1,Loki,Strategist,8.19,61.4%,25,Success
ＰＥＲＫ,2,White Fox,Strategist,6.17,60.4%,13,Success
ＰＥＲＫ,3,Invisible Woman,Strategist,6.25,31.4%,8,Success
ＰＥＲＫ,4,Gambit,Strategist,7.46,79.5%,4,Success
